lat,lon
48.2553,-101.2733
40.1667,-103.2167
42.8375,-103.0953
41.1519,-104.8061
40.5233,-101.0344
42.8153,-108.7261
41.3119,-105.6747
41.1214,-100.6694
44.0511,-101.6011
44.3814,-100.2856
41.5944,-109.0528
41.8706,-103.5931
44.7694,-106.9689
41.1014,-102.9847
42.8783,-100.55
45.8069,-108.5422
47.0492,-109.4578
46.4267,-105.8825
42.0572,-102.8
40.4953,-107.5211
44.5169,-108.0822
41.8056,-107.1997
43.0661,-108.4767
43.9658,-107.9508
44.2169,-104.9292
42.8975,-106.4636
44.0433,-103.0536
40.51,-101.62
41.1167,-111.9667
43.05,-115.8667
47.2078,-119.3192
47.5167,-111.1833
47.6333,-117.65
40.6117,-116.8917
40.9139,-111.3983
40.8289,-115.7886
41.1961,-112.0114
40.7781,-111.9694
40.9017,-117.8081
44.8428,-117.8086
43.5667,-116.2406
45.7881,-111.1608
42.5417,-113.7661
45.9647,-112.5006
48.6033,-112.3753
45.2575,-112.5545
46.6383,-113.1761
47.3078,-119.5153
47.4733,-111.3822
46.6056,-111.9636
43.5164,-112.0672
45.2833,-118.0167
46.3747,-117.0156
45.6983,-110.4408
42.1492,-112.2872
45.5114,-118.4247
46.9208,-114.0925
47.4569,-115.645
45.6906,-118.8528
42.9203,-112.5711
47.6217,-117.5281
47.1928,-114.8903
46.0947,-118.2869
44.0206,-117.0128
46.2667,-119.1167
42.5844,-110.1075
40.0681,-118.5692
40.7206,-114.0358
47.0833,-122.5833
47.15,-122.4833
40.8097,-124.1603
41.3325,-122.3328
40.1519,-122.2536
48.7939,-122.5372
45.6194,-121.1661
47.0339,-120.5303
44.1278,-123.2206
47.9078,-122.2803
42.3811,-122.8722
46.9733,-122.9033
45.5908,-122.6003
44.2558,-121.1392
43.2389,-123.3547
44.905,-123.0011
47.4444,-122.3139
47.5303,-122.3008
42.6003,-123.3642
47.2767,-121.3372
46.4833,-122.8167
45.5511,-122.4089
46.5683,-120.5428
48.35,-122.6667
40.5175,-122.2986
41.7806,-122.4717
47.65,-122.3
40.9781,-124.1086
